iter	Passed	Remaining
0	1	1789
1	2	1436
2	3	1273
3	4	1139
4	5	1071
5	6	1014
6	7	1023
7	8	1053
8	9	1054
9	10	1043
10	13	1213
11	15	1251
12	16	1283
13	17	1256
14	18	1228
15	19	1200
16	20	1173
17	21	1156
18	22	1139
19	22	1124
20	23	1110
21	24	1094
22	30	1299
23	31	1288
24	32	1276
25	33	1255
26	34	1234
27	35	1215
28	35	1195
29	36	1180
30	37	1162
31	38	1152
32	38	1138
33	39	1126
34	40	1112
35	44	1196
36	45	1196
37	46	1188
38	47	1177
39	48	1165
40	49	1152
41	50	1141
42	50	1133
43	52	1146
44	53	1144
45	55	1150
46	58	1187
47	59	1184
48	60	1177
49	61	1167
50	62	1158
51	63	1148
52	63	1139
53	64	1130
54	65	1122
55	66	1114
56	66	1106
57	67	1101
58	68	1095
59	70	1103
60	71	1100
61	72	1096
62	73	1097
63	74	1095
64	75	1089
65	76	1083
66	77	1075
67	77	1068
68	78	1063
69	79	1056
70	80	1052
71	81	1046
72	81	1039
73	82	1034
74	83	1029
75	84	1029
76	85	1025
77	86	1026
78	87	1023
79	88	1017
80	89	1011
81	94	1061
82	95	1053
83	96	1049
84	97	1047
85	98	1043
86	99	1042
87	100	1038
88	101	1039
89	103	1043
90	104	1040
91	104	1036
92	105	1030
93	106	1025
94	107	1020
95	108	1017
96	109	1022
97	110	1020
98	112	1019
99	112	1014
100	114	1015
101	115	1014
102	116	1012
103	117	1012
104	118	1009
105	119	1006
106	120	1002
107	120	998
108	121	995
109	122	992
110	123	988
111	124	983
112	124	979
113	125	975
114	126	971
115	127	975
116	128	972
117	129	969
118	130	969
119	132	968
120	133	970
121	134	966
122	135	965
123	136	962
124	136	958
125	137	954
126	138	950
127	139	947
128	140	951
129	142	954
130	143	954
131	145	956
132	146	953
133	147	950
134	148	948
135	148	945
136	149	943
137	150	941
138	151	937
139	152	934
140	152	931
141	153	927
142	154	924
143	155	924
144	157	926
145	158	925
146	159	925
147	161	927
148	162	926
149	162	923
150	163	920
151	164	916
152	165	913
153	165	910
154	166	907
155	167	904
156	169	910
157	171	911
158	172	911
159	173	912
160	174	908
161	175	905
162	175	903
163	176	900
164	177	897
165	178	895
166	178	891
167	179	888
168	180	886
169	181	884
170	182	883
171	183	884
172	184	883
173	186	887
174	188	886
175	188	884
176	189	881
177	190	878
178	190	875
179	191	872
180	192	870
181	193	870
182	194	868
183	195	865
184	196	866
185	198	866
186	199	866
187	200	868
188	201	866
189	202	864
190	203	862
191	204	860
192	205	858
193	205	855
194	206	853
195	207	850
196	208	848
197	208	845
198	209	843
199	210	841
200	211	839
201	212	840
202	213	839
203	215	839
204	215	837
205	216	835
206	217	832
207	218	830
208	218	827
209	219	825
210	219	822
211	220	820
212	221	817
213	221	815
214	222	812
215	223	810
216	223	808
217	225	807
218	225	805
219	227	805
220	228	804
221	229	805
222	230	803
223	231	801
224	232	799
225	232	797
226	233	795
227	234	793
228	235	791
229	235	790
230	236	788
231	237	786
232	238	784
233	239	783
234	240	783
235	241	783
236	243	782
237	243	780
238	245	781
239	246	780
240	247	778
241	247	775
242	248	773
243	249	772
244	250	770
245	250	768
246	251	766
247	252	764
248	252	762
249	253	761
250	256	763
251	257	763
252	258	762
253	259	761
254	260	759
255	260	758
256	261	756
257	262	754
258	263	752
259	263	750
260	264	749
261	265	747
262	266	745
263	266	744
264	267	742
265	268	740
266	269	740
267	271	740
268	272	739
269	273	738
270	273	736
271	274	735
272	275	733
273	276	731
274	276	730
275	277	728
276	278	726
277	279	724
278	279	722
279	280	721
280	281	720
281	283	722
282	284	721
283	286	721
284	286	719
285	287	718
286	288	716
287	289	715
288	290	713
289	290	712
290	291	710
291	292	709
292	293	708
293	294	707
294	295	707
295	300	713
296	301	713
297	302	712
298	303	710
299	303	708
300	304	707
301	305	706
302	306	704
303	307	703
304	308	702
305	309	701
306	310	700
307	310	698
308	312	698
309	313	697
310	314	696
311	315	695
312	316	694
313	317	692
314	317	691
315	318	689
316	319	688
317	320	687
318	321	685
319	321	684
320	322	682
321	323	680
322	324	679
323	325	678
324	326	677
325	327	676
326	329	677
327	330	676
328	331	675
329	331	673
330	332	671
331	333	670
332	334	669
333	335	668
334	335	666
335	336	665
336	337	664
337	338	663
338	340	663
339	341	663
340	343	664
341	344	663
342	345	662
343	346	660
344	347	659
345	348	658
346	349	656
347	350	655
348	350	654
349	351	653
350	352	651
351	353	651
352	354	650
353	355	649
354	357	649
355	358	648
356	359	647
357	360	645
358	361	644
359	362	644
360	363	643
361	364	641
362	365	640
363	366	639
364	366	638
365	367	637
366	368	636
367	370	635
368	371	635
369	372	634
370	373	633
371	374	632
372	375	630
373	376	629
374	377	628
375	377	627
376	379	626
377	380	625
378	380	623
379	381	623
380	383	622
381	387	626
382	388	625
383	389	624
384	390	623
385	390	621
386	391	620
387	393	619
388	393	618
389	394	617
390	395	616
391	396	614
392	399	617
393	401	617
394	402	616
395	403	614
396	403	613
397	404	612
398	405	610
399	406	609
400	407	608
401	408	607
402	409	605
403	410	605
404	411	603
405	412	603
406	413	602
407	414	601
408	415	600
409	416	599
410	417	598
411	418	597
412	419	596
413	421	595
414	421	594
415	422	593
416	423	592
417	424	590
418	425	590
419	426	589
420	428	588
421	429	587
422	430	586
423	431	586
424	432	585
425	433	584
426	434	583
427	435	582
428	437	581
429	438	580
430	438	579
431	440	578
432	441	578
433	443	577
434	444	577
435	446	577
436	447	577
437	448	575
438	449	574
439	450	573
440	452	572
441	453	573
442	455	572
443	456	571
444	457	571
445	458	570
446	459	568
447	460	567
448	461	566
449	462	565
450	463	563
451	464	562
452	464	561
453	465	560
454	469	562
455	470	561
456	472	560
457	472	559
458	473	558
459	474	557
460	475	556
461	476	555
462	477	554
463	478	552
464	479	551
465	480	550
466	481	549
467	482	548
468	483	547
469	484	546
470	486	546
471	487	545
472	489	544
473	489	543
474	490	542
475	491	541
476	492	540
477	493	539
478	494	538
479	497	538
480	498	538
481	500	537
482	501	536
483	502	535
484	503	534
485	504	533
486	505	532
487	506	531
488	507	530
489	508	528
490	511	529
491	512	529
492	514	529
493	515	528
494	516	527
495	517	525
496	518	524
497	519	523
498	520	522
499	521	521
500	522	520
501	523	519
502	524	518
503	525	517
504	528	517
505	529	516
506	530	515
507	531	514
508	532	513
509	533	512
510	534	511
511	535	510
512	536	509
513	537	508
514	538	507
515	540	506
516	541	506
517	543	505
518	544	504
519	545	503
520	546	502
521	547	501
522	548	499
523	548	498
524	549	497
525	550	496
526	552	495
527	554	495
528	555	494
529	557	493
530	558	493
531	559	492
532	560	491
533	561	489
534	562	488
535	563	487
536	563	486
537	564	485
538	567	485
539	568	484
540	570	484
541	572	483
542	573	482
543	574	481
544	575	480
545	576	479
546	577	478
547	578	477
548	579	476
549	582	476
550	583	475
551	584	474
552	586	473
553	587	472
554	588	471
555	589	470
556	590	469
557	591	468
558	592	467
559	593	466
560	594	464
561	597	465
562	599	465
563	600	464
564	601	462
565	602	461
566	603	460
567	604	459
568	605	458
569	606	457
570	606	456
571	607	454
572	609	454
573	611	453
574	612	452
575	613	451
576	615	450
577	616	449
578	617	448
579	618	447
580	619	446
581	620	445
582	621	444
583	622	443
584	623	442
585	624	441
586	625	440
587	627	439
588	628	438
589	629	437
590	630	436
591	631	435
592	632	434
593	634	433
594	635	432
595	636	431
596	637	430
597	639	429
598	640	429
599	642	428
600	643	427
601	644	426
602	645	425
603	647	424
604	648	423
605	649	422
606	650	421
607	651	420
608	654	420
609	657	420
610	659	419
611	660	418
612	661	417
613	662	416
614	664	415
615	665	414
616	666	413
617	667	412
618	669	412
619	671	411
620	672	410
621	674	409
622	675	408
623	676	407
624	677	406
625	678	405
626	680	404
627	682	404
628	685	404
629	686	403
630	688	402
631	689	401
632	690	400
633	691	399
634	693	398
635	694	397
636	696	396
637	699	396
638	700	395
639	702	394
640	703	393
641	704	392
642	705	391
643	707	390
644	708	389
645	709	388
646	711	387
647	712	387
648	714	386
649	715	385
650	716	384
651	717	383
652	718	381
653	720	380
654	721	379
655	722	378
656	725	378
657	727	377
